sep=, 
EKG Messung vom 28.01.2019 19.24.02
gemessen mit dem EKG Dongle der Hochschule Luzern BAT HS18

 
 , Lead1, Lead2, Lead3, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6
0,-56.450172548648,167470.295999244,167526.746171793,-167498.521085519,-28.225086274324,152012.443696237,136498.141220681,136552.361102561,136780.045630505,136707.485397206,136432.185246158,136365.75289887
1,-155.315274258261,461222.179568597,461377.494842855,-461299.837205726,-77.6576371291303,418653.910066057,375930.325289259,376079.736408018,376706.640416194,376507.108731017,375748.787212408,375565.828912502
2,-317.830950506963,943952.821854478,944270.652804985,-944111.737329731,-158.915475253481,856837.446599168,769404.240393351,769709.636529035,770992.852625844,770584.30937862,769032.537152313,768657.52584748
3,-586.31060110149,1742056.50619529,1742642.81679639,-1742349.66149584,-293.155300550745,1581294.21250622,1419945.60821606,1420509.15002236,1422877.23899303,1422123.2225086,1419259.63080094,1418567.58308529
4,-1083.08117604163,3218219.49631228,3219302.57748832,-3218761.0369003,-541.540588020813,2921241.50887147,2623180.44025462,2624221.27442609,2628595.88354295,2627203.20571926,2621913.32238934,2620635.14508153
5,-2651.33673982229,7875220.2041467,7877871.54088652,-7876545.87251661,-1325.66836991115,7148460.6279495,6419049.71501249,6421597.80161084,6432303.12612565,6428894.25540597,6415948.92041746,6412822.40278108
6,-1076.94414316211,3218238.1956961,3219315.13983926,-3218776.66776768,-538.472071581054,2921494.74564046,2623674.35144167,2624714.40796074,2629085.85920392,2627700.61233111,2622409.56833791,2621128.31715384
7,-583.918692545034,1742126.72704684,1742710.64573938,-1742418.68639311,-291.959346272517,1581708.34596218,1420706.04618498,1421256.15080976,1423630.71947627,1422867.64232715,1420015.06034081,1419308.87854411
8,-309.169439326157,944105.623489433,944414.792928759,-944260.208209096,-154.584719663078,857369.726964894,770324.661001028,770637.105542801,771913.451355344,771509.615988798,769958.908251919,769601.12248386
9,-155.192761060665,461028.456859708,461183.649620768,-461106.053240238,-77.5963805303327,418943.769358702,376703.889096635,376852.511445692,377476.628006712,377287.784927903,376529.464176086,376355.414958191
10,-53.3426675485098,167444.459266582,167497.801934131,-167471.130600357,-26.6713337742549,152460.809023038,137423.816111945,137497.550235148,137728.977708368,137647.835673437,137360.445564316,137296.072188599
