sep=, 
EKG Messung vom 28.01.2019 18.31.12
gemessen mit dem EKG Dongle der Hochschule Luzern BAT HS18

 
 , Lead1, Lead2, Lead3, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6
0,-56.2552927814831,167436.711719374,167492.967012155,-167464.839365764,-28.1276463907416,152998.686891125,138504.406770095,138559.124678047,138784.968674857,138711.347429492,138439.858260556,138372.949540505
1,-155.016751155606,461129.253567912,461284.270319068,-461206.76194349,-77.5083755778032,421368.897394251,381453.524469434,381604.545365481,382226.51037059,382023.536921062,381275.559481447,381091.505758097
2,-317.388481937698,943762.590002995,944079.978484932,-943921.284243964,-158.694240968849,862392.704624918,780705.430764904,781014.376633972,782287.857810054,781871.837944883,780341.064055921,779964.483682092
3,-585.387794288574,1741699.52109253,1742284.90888682,-1741992.21498967,-292.693897144287,1591536.33731364,1440787.76574047,1441358.02586058,1443707.80566173,1442939.86081999,1440115.63609557,1439420.28875352
4,-1081.35280108592,3217562.07609927,3218643.42890035,-3218102.75249981,-540.676400542958,2940157.13648509,2661670.84406983,2662724.7447809,2667065.00963047,2665647.09199059,2660429.35287027,2659145.00105234
5,-2645.92226229515,7873622.08462623,7876268.00688853,-7874945.04575738,-1322.96113114757,7194764.76277012,6513261.51865171,6515838.90006129,6526459.35341416,6522991.84711096,6510223.93675984,6507080.26644816
6,-1083.06923770485,3217554.37414795,3218637.44338566,-3218095.9087668,-541.534618852427,2940291.88762474,2661946.33186382,2663009.26388935,2667349.70146791,2665922.20754254,2660699.49089378,2659420.99631329
7,-583.575135453604,1741734.94561064,1742318.52074609,-1742026.73317836,-291.787567726802,1591743.66307523,1441168.80540438,1441732.70745499,1444091.13473692,1443310.82795312,1440498.8126309,1439800.92276449
8,-302.588091836893,943763.785927995,944066.374019832,-943915.079973913,-151.294045918447,862466.737364212,780867.100708592,781185.866236244,782427.589141164,782026.435297015,780515.699085298,780127.43335227
9,-160.073887414008,461138.00520205,461298.079089464,-461218.042145757,-80.036943707004,421464.80052639,381631.521963316,381793.352926665,382403.858828912,382225.422832941,381449.535656245,381281.021738078
10,-54.3534751005063,167436.767061023,167491.120536123,-167463.943798573,-27.1767375502532,153074.701426779,138658.282317435,138695.809529306,138927.936592777,138846.266250841,138587.333682328,138512.695693822
11,2.84950492758071,-65.528482901369,-68.3779878289497,66.9532353651593,1.42475246379036,29.9848714196414,128.347730668233,129.767641399638,132.85307039757,131.971800851024,137.167895864754,126.043683598808
12,0.703441135934554,-13.4928144144651,-14.1962555503997,13.8445349824324,0.351720567967277,57.2464741703297,128.689203891059,133.057557441323,135.712664546125,136.755401274771,134.226511787885,138.376398101944
13,-14.9280880053702,-39.0433014691807,-24.1152134638105,31.5792574664956,-7.46404400268511,69.9794218044553,164.074057072721,174.247256251547,166.835223926028,179.597506684222,165.71314037175,164.322233996441
14,-4.66473651287379,-45.0259979676921,-40.3612614548183,42.6936297112552,-2.33236825643689,142.647631522836,325.656524500489,328.820967991633,334.276507164701,323.513600167731,334.991417988233,324.498596543446
15,14.7682474769244,-118.539314350637,-133.307561827562,125.923438089099,7.38412373846222,180.049441202951,493.406444233464,489.727992571745,484.249741653388,491.898348582326,488.26793879419,484.239232141088
16,10.8664837294491,28.8130080898991,17.94652436045,-23.3797662251745,5.43324186472455,284.189445058,550.432365755551,539.183030460961,541.026996305649,528.823413016798,546.559419188095,545.322879452899
17,3.48192244613892,60.2293099148956,56.7473874687566,-58.4883486918261,1.74096122306946,331.439708227626,606.132028986496,618.170038493205,612.296621695888,607.094699458132,599.295946176368,609.827565099898
18,-1.20818118218449,92.7258864866453,93.9340676688298,-93.3299770777376,-0.604090591092245,308.111748628828,522.289429588825,517.258417291625,519.632858495723,526.044306500757,524.146182330558,521.548301675619
19,-2.25370325156837,152.639001933683,154.892705185252,-153.765853559467,-1.12685162578418,337.884102064883,520.875498944515,511.548943710164,535.515856515907,522.503565106716,519.642210672493,535.022833548166
20,-2.80687930018757,-136.451953869546,-133.645074569358,135.048514219452,-1.40343965009379,107.933852529546,349.512779628451,347.920728033991,342.652344967093,347.753022119345,337.758858639951,351.541719303874
21,-5.33572625924717,108.4285091692,113.764235428447,-111.096372298824,-2.66786312962358,310.551839099571,507.339442770695,504.895013209549,501.360809102829,505.997982104658,523.512068951939,515.630948657839
22,10.7249574323941,-63.3628323615703,-74.0877897939645,68.7253110777674,5.36247871619707,197.432767718565,468.953325231094,472.355300996627,489.370008435741,469.454722273105,467.114948829112,470.781653379585
23,-5.8534220494621,3.72573725739494,9.57915930685704,-6.65244828212599,-2.92671102473105,173.727340689264,337.87552207167,327.454957035749,319.632048275904,339.503245385073,330.186289105593,328.389276411966
