sep=, 
EKG Messung vom 28.01.2019 18.36.12
gemessen mit dem EKG Dongle der Hochschule Luzern BAT HS18

 
 , Lead1, Lead2, Lead3, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6
0,-56.168679551658,167448.16631902,167504.334998572,-167476.250658796,-28.084339775829,83752.1674992859,0,0,0,0,0,0
1,-154.453413994983,461162.402503489,461316.855917484,-461239.629210486,-77.2267069974914,230658.427958742,0,0,0,0,0,0
2,-316.460486996104,943829.380227174,944145.84071417,-943987.610470672,-158.230243498052,472072.920357085,0,0,0,0,0,0
3,-584.211555097019,1741820.8592129,1742405.070768,-1742112.96499045,-292.10577754851,871202.535384001,0,0,0,0,0,0
4,-1079.36125038471,3217783.381345,3218862.74259539,-3218323.0619702,-539.680625192355,1609431.37129769,0,0,0,0,0,0
5,-2641.20064709801,7874161.60386587,7876802.80451297,-7875482.20418942,-1320.60032354901,3938401.40225649,0,0,0,0,0,0
6,-1076.8662286168,3217798.9291024,3218875.79533102,-3218337.36221671,-538.433114308398,1609437.89766551,0,0,0,0,0,0
7,-601.737505140016,1741765.09122081,1742366.82872595,-1742065.95997338,-300.868752570008,871183.414362976,0,0,0,0,0,0
8,-317.56558908138,943761.750669566,944079.316258648,-943920.533464107,-158.78279454069,472039.658129324,0,0,0,0,0,0
9,-156.088747469184,461122.91948915,461279.008236619,-461200.963862884,-78.0443737345922,230639.504118309,0,0,0,0,0,0
10,-60.908771525108,167463.607646777,167524.516418302,-167494.062032539,-30.454385762554,83762.2582091508,0,0,0,0,0,0
11,-10.84682152202,69.4562252947944,80.3030468168145,-74.8796360558044,-5.42341076101002,40.1515234084072,0,0,0,0,0,0
12,13.6186660003732,-125.904090972792,-139.522756973165,132.713423972978,6.8093330001866,-69.7613784865825,0,0,0,0,0,0
13,11.0222050953598,-5.73376508979709,-16.7559701851569,11.244867637477,5.51110254767991,-8.37798509257846,0,0,0,0,0,0
14,-0.0954876480682287,-26.8761351577414,-26.7806475096731,26.8283913337073,-0.0477438240341144,-13.3903237548366,0,0,0,0,0,0
15,-4.47988929520943,3.34941480326233,7.82930409847177,-5.58935945086705,-2.23994464760472,3.91465204923588,0,0,0,0,0,0
16,3.7097367112292,-48.1409524612827,-51.8506891725119,49.9958208168973,1.8548683556146,-25.925344586256,0,0,0,0,0,0
17,5.47361638522125,49.6810339106305,44.2074175254093,-46.9442257180199,2.73680819261062,22.1037087627046,0,0,0,0,0,0
18,5.48149088703212,-46.3173085963354,-51.7987994833675,49.0580540398514,2.74074544351606,-25.8993997416837,0,0,0,0,0,0
19,-3.99711923784344,-66.7686642429035,-62.77154500506,64.7701046239818,-1.99855961892172,-31.38577250253,0,0,0,0,0,0
20,-4.45874064863892,7.23649472850957,11.6952353771485,-9.46586505282903,-2.22937032431946,5.84761768857425,0,0,0,0,0,0
21,1.31678194942651,-21.5917622048291,-22.9085441542557,22.2501531795424,0.658390974713257,-11.4542720771278,0,0,0,0,0,0
22,-4.08847767405678,-45.4461263594567,-41.3576486853999,43.4018875224283,-2.04423883702839,-20.6788243427,0,0,0,0,0,0
23,-5.02674562469474,18.8297597822384,23.8565054069331,-21.3431325945858,-2.51337281234737,11.9282527034666,0,0,0,0,0,0
24,-11.5750713323068,-259.602866989357,-248.02779565705,253.815331323203,-5.78753566615342,-124.013897828525,0,0,0,0,0,0
25,13.0800940471818,-385.729808104719,-398.809902151901,392.26985512831,6.54004702359089,-199.404951075951,0,0,0,0,0,0
